part_number,price,days_to_ship,minimum_order_qty,inner_dia_d,outer_dia_d,width_b,basic_load_rating_cr,basic_load_rating_cor,weight,page_url
6703ZZ,,,,17,23,460,,,17.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6904ZZ,,,,37,9,24,,,36,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6206ZZ,,,,62,16,39,,,199,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6309ZZ,,,,100,25,53,,,92,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6907ZZ,,,,55,10,8000,,,40,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6800ZZ,,,,19,5,24000,,,12.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6903ZZ,,,,30,7,20,,,18,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6207ZZ,,,,72,17,7000,,,45,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6202ZZ,,,,35,11,14000,,,20,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6310ZZ,,,,110,27,4000,,,68,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6901ZZ,,,,24,6,15,,,11,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6804ZZ,,,,32,7,15000,,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6204ZZ,,,,47,14,11000,,,28,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6807ZZ,,,,35,47,2840,,,37,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6200ZZ,,,,30,9,17000,,,16,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6003ZZ,,,,35,10,21,,,39,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6205ZZ,,,,52,15,9000,,,32,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6306ZZ,,,,72,19,7000,,,42.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6900ZZ,,,,22,6,13,,,9,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6006ZZ,,,,55,13,9000,,,37,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6004ZZ,,,,42,12,24,,,38,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6910ZZ,,,,72,12,6000,,,55,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6001ZZ,,,,28,8,16,,,21,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6300ZZ,,,,35,11,16.5,,,52,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6304ZZ,,,,52,15,10000,,,45.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6701ZZ,,,,12,18,370,,,12.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6700ZZ,,,,,10,600,,,15000,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6007ZZ,,,,62,14,40,,,57,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6008ZZ,,,,68,15,7000,,,47,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6801ZZ,,,,21,5,22000,,,14.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6803ZZ,,,,26,5,18000,,,19.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6908ZZ,,,,62,12,44,,,58,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6905ZZ,,,,42,9,29,,,42,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6307ZZ,,,,80,21,6000,,,47,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
