part_number,price,days_to_ship,minimum_order_qty,inner_dia_d,outer_dia_d,width_b,basic_load_rating_cr,basic_load_rating_cor,weight,page_url
6007ZZ,151,same day,,62,14,1,7210,,57,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6802ZZ,7,same day,,24,5,0.3,880,,17.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6010ZZ,261,same day,,80,16,1,11620,,75,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6703ZZ,4,same day,,17,23,4,700,,17.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6203ZZ,66,same day,,40,12,0.6,3220,,23,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6904ZZ,36,same day,,37,9,4480,13000,,36,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6910ZZ,145,same day,,72,12,0.6,8190,,55,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6306ZZ,345,same day,,72,19,1.1,10500,,42.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6003ZZ,39,same day,,35,10,4760,15000,,39,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6209ZZ,420,same day,,85,19,1.1,14280,,55.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6701ZZ,3,same day,,12,18,4,640,,12.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6004ZZ,69,same day,,42,12,0.6,3540,,38,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6307ZZ,464,same day,,80,21,1.5,13440,,47,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6208ZZ,366,same day,,80,18,1.1,12460,,51,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6008ZZ,190,same day,,68,15,1,8050,,47,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6204ZZ,106,same day,,47,14,1,4660,,28,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6704ZZ,6,same day,,20,27,4,730,,20.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6805ZZ,22,same day,,25,37,7,3010,,27,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6207ZZ,284,same day,,72,17,1.1,10710,,45,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6309ZZ,829,same day,,100,25,1.5,22400,,92,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6000ZZ,19,same day,,26,8,3190,21000,,19,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6002ZZ,30,same day,,32,9,3920,17000,,30,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6903ZZ,18,same day,,30,7,3260,17000,,18,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6906ZZ,53,same day,,47,9,5080,10000,,53,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6200ZZ,32,same day,,30,9,0.6,1670,,16,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6300ZZ,52,same day,,35,11,5740,15000,,52,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6304ZZ,145,same day,,52,15,1.1,5530,,45.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6810ZZ,65,same day,,50,65,7,4620,,52,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6305ZZ,235,same day,,62,17,1.1,7630,,36,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6202ZZ,45,same day,,35,11,0.6,2520,,20,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6907ZZ,88,same day,,55,10,0.6,4800,,40,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6901ZZ,11,same day,,24,6,2020,21000,,11,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6303ZZ,113,same day,,47,14,1,4590,,25.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6905ZZ,42,same day,,42,9,4940,11000,,42,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6801ZZ,6,same day,,21,5,0.3,730,,14.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6308ZZ,636,same day,,90,23,1.5,16800,,53,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6908ZZ,132,same day,,62,12,0.6,6230,,58,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6302ZZ,83,same day,,42,13,1,3820,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6009ZZ,241,same day,,75,16,1,10640,,53.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6900ZZ,9,same day,,22,6,1890,22000,,9,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6902ZZ,16,same day,,28,7,2560,18000,,,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6201ZZ,37,same day,,32,10,0.6,1930,,17,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6803ZZ,8,same day,,26,5,0.3,1020,,19.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6205ZZ,128,same day,,52,15,1,5500,,32,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6804ZZ,19,same day,,32,7,0.3,1730,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6001ZZ,21,same day,,28,8,3570,20000,,21,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6806ZZ,27,same day,,30,42,7,3290,,32,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6807ZZ,32,same day,,35,47,7,3430,,37,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6909ZZ,148,same day,,68,12,0.6,7560,,50,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6006ZZ,116,same day,,55,13,1,5810,,37,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6210ZZ,459,same day,,90,20,24500,5000,,83.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6800ZZ,5,same day,,19,5,0.3,650,,12.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6206ZZ,199,same day,,62,16,13650,8000,,199,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6808ZZ,33,same day,,40,52,7,3570,,42,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6310ZZ,106,same day,,110,27,2,26600,,68,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6809ZZ,42,same day,,45,58,7,4330,,47,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6700ZZ,2,same day,,6700,10,15,0.2,,15000,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6702ZZ,4,same day,,15,21,4,660,,15.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6301ZZ,60,same day,,37,12,1,2940,,18,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6005ZZ,80,same day,,47,12,0.6,4100,,43,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
